"review_id","text_pt","label"
"00020c7512a52e92212f12d3e37513c0","A entrega foi super rápida e o pendente é lindo! Igual a foto mesmo!","2"
"00046a69550325aea5fb89f65c7387f2","GOSTEI DA CAPINHA DE CELULAR, VEIO COMO EU ESPERAVA.","2"
"0005534973388c830bb858cfba83b17b","otimo produto. prazo cumprido. sabor tambem muito bom!","2"
"00055e36e9608fe969231e551983a69c","O produto foi entregue muito antes do esperado. Ótima agilidade.","2"
"0005949d4c047d64863a6874338139ba","Bom eu já sabia que era,mas é muito bonito.recomendo.","2"
"0006803d573e15ea8a16b6662dc712d3","Entrega antes do prazo satisfeito","2"
"000da26f546e5d51b6336486f57fc632","Muito satisfeita com o produto, entrega e a praticidade do site.","2"
"00112b1cb3cd58339c91aad88df2b835","Nota 10 pela entrega. O produto não tem a cor exatamente preta, está mais para chumbo cobreado...","2"
"00125f12c201cf0160f4a1457b466512","O produto chegou no prazo porém o item veio errado, entrei em contato com o vendedor e o mesmo disse que me mandaria o produto correto. Estou aguardando o código de rastreio do produto correto.","0"
"0012aca79505926b2587d1140c08fad6","Veio a base de uma banqueta com avaria - riscos.","1"
"00130cbe1f9d422698c812ed8ded1919","O cartucho \"original HP\" 60XL não é reconhecido pela impressora, consequentemente não funcionou. Além de ter chegado com atraso de mais de 15 dias do previsto. Preciso que seja trocado.","0"
"0013e9dd48c5a38d258a9e0bd1917fa7","Empresa entrega dentro do que promete, no último dia do prazo, demora de mais, não encanta o cliente, pois só faz a obrigação básica.","1"
"00148610066c357531807daea5888a22","ENTREGA DENTRO DO PRAZO..RECOMENDO!","2"
"001736c33bb2a7a2454785a497d9a7ab","A entrega foi rapida porem o material do produto nao me agradou.","1"
"00180271bf8a82fca45f1aef1dcb837b","Muito feliz com minha compra. O pedido chegou  em 2 dias. Recomendo","2"
"001a0f6aa15b5525ac30fbe74a2eddd0","Chegou bem antes do prazo e o material de muito boa qualidade!","2"
"001a4411893b94d3f37d248e3586c63d","Produto bom. Recomendo a compra. Entrega um pouco demorada, mas enfim chegou e está correto.","2"
"001d005e8f06c039464425cf266248e8","Inicialmente o pedido veio incompleto, passei uma msg a lannister (sem receber a resposta), recebi o restante do pedido 2 dias depois.","2"
"002155c71462b955916f9e3c1df7d376","Fiquei muito satisfeita.","2"
"0021a4bb20248658151869de726e73e4","Recebi o relógio, antes do prazo e agradou bastante. Satisfação plena.","2"
"002d6d967b7d3bba097310297327864d","Produto não funciona","0"
"002f100916fd5242e4ae510ca5c9c170","produto entregue no prazo e tem boa qualidade","2"
"002fbdbf4b1671be0127c601abb17f11","O produto chegou com bastante antescedencia e fiquei muito feliz por isso. Obrigada","2"
"00311993b334898af860a795f15a054f","Produto q n tinha na loja..receber n um produto q n gostei..","0"
"0033c4e5fa788424efcc3ed56ab353b1","O produto chegou no prazo, todo embalado certinho.","2"
"00340557e47d90c6c5ba1dc739de566c","Gostei demais. Bem em conta e foi entregue super rápido. Com certeza recomendo.","2"
